movieId,title,genres,ratings,year
1,The Love Affair,Thriller,8,2011
2,Feng Shui,Horror,2,2002
3,Alone/Together,Thriller,2,2006
4,My Amnesia Girl,Fantasy,5,2005
5,Here Comes the Bride,Horror,1,2009
6,The Hows of Us,Romance,5,2007
7,The Love Affair,Sci-Fi,10,2004
8,Everyday I Love You,Drama,7,2003
9,Kimmy Dora,Romance,5,2012
10,Seven Sundays,Action,8,2011
11,It Takes a Man and a Woman,Thriller,5,2006
12,A Second Chance,Comedy,1,2009
13,Miss Granny,Sci-Fi,4,2012
14,The Mistress,Drama,7,2011
15,The Mistress,Horror,2,2007
16,All About Love,Horror,3,2002
17,Alone/Together,Horror,3,2010
18,Feng Shui,Comedy,5,2004
19,My Amnesia Girl,Horror,3,2006
20,Sisterakas,Romance,8,2011
21,Barcelona: A Love Untold,Action,8,2007
22,Sisterakas,Fantasy,3,2006
23,Tanging Yaman,Drama,2,2003
24,Suddenly It's Magic,Thriller,7,2011
25,Miss Granny,Action,10,2004
26,Seven Sundays,Romance,9,2002
27,The Love Affair,Action,5,2012
28,Everything About Her,Romance,7,2002
29,Kung Fu Divas,Action,4,2010
30,Alone/Together,Action,5,2008
31,Till I Met You,Sci-Fi,7,2008
32,The Girl in the Orange Dress,Comedy,6,2002
33,Everything About Her,Horror,10,2010
34,Starting Over Again,Drama,6,2002
35,Till I Met You,Romance,5,2007
36,Everyday I Love You,Comedy,1,2002
37,In My Life,Thriller,1,2002
38,Feng Shui,Sci-Fi,1,2006
39,My Amnesia Girl,Action,3,2012
40,The Girl in the Orange Dress,Sci-Fi,4,2007
41,It Takes a Man and a Woman,Comedy,1,2009
42,Tanging Yaman,Drama,10,2009
43,Sisterakas,Drama,5,2007
44,Barcelona: A Love Untold,Drama,4,2010
45,My Big Love,Drama,2,2004
46,Everything About Her,Comedy,7,2009
47,Dekada '70,Action,8,2002
48,You Changed My Life,Action,9,2009
49,Three Words to Forever,Sci-Fi,6,2005
50,Praybeyt Benjamin,Romance,6,2004
51,Four Sisters and a Wedding,Fantasy,4,2012
52,The Breakup Playlist,Sci-Fi,7,2007
53,Kasal Kasali Kasalo,Romance,8,2011
54,Crazy Beautiful You,Action,7,2004
55,The Hows of Us,Fantasy,4,2006
56,Here Comes the Bride,Sci-Fi,1,2007
57,Kasal Kasali Kasalo,Thriller,1,2003
58,It Takes a Man and a Woman,Sci-Fi,4,2009
59,Exes Baggage,Fantasy,8,2004
60,Crazy Beautiful You,Romance,8,2002
61,Suddenly It's Magic,Thriller,5,2010
62,Till I Met You,Comedy,4,2004
63,Seven Sundays,Sci-Fi,4,2011
64,The Mistress,Horror,5,2006
65,Barcelona: A Love Untold,Thriller,4,2008
66,Praybeyt Benjamin,Drama,9,2012
67,The Healing,Romance,3,2005
68,My Big Love,Horror,5,2004
69,Kimmy Dora,Thriller,8,2004
70,Praybeyt Benjamin,Romance,6,2009
71,Sisterakas,Thriller,2,2004
72,Seven Sundays,Drama,6,2006
73,Three Words to Forever,Sci-Fi,3,2009
74,The Love Affair,Sci-Fi,4,2010
75,A Second Chance,Horror,4,2006
76,My Big Love,Sci-Fi,4,2006
77,The Unmarried Wife,Romance,7,2011
